City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Muros,ES,42.7762,-9.0603,50.23,58,15,5.82,few clouds
79,Marzuq,YE,14.4,46.4667,70.29,43,20,1.86,few clouds
80,Jalu,LY,29.0331,21.5482,51.17,68,99,9.04,overcast clouds
81,Arlit,NE,18.7369,7.3853,59.22,18,2,8.32,clear sky
82,Coquimbo,CL,-29.9533,-71.3436,62.42,83,8,4.03,clear sky
83,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,17.27,clear sky
84,Mashhad,IR,36.297,59.6062,41.14,65,0,6.91,clear sky
85,Quelimane,MZ,-17.8786,36.8883,81.34,74,13,4.23,few clouds
86,Chateauroux,FR,46.8167,1.7,45.55,100,100,5.75,fog
87,Maracacume,BR,-2.0428,-45.9592,70.68,99,100,3.13,light rain
88,San Ignacio,BZ,17.1561,-89.0714,64.54,94,100,6.91,overcast clouds
89,Nyborg,DK,55.3127,10.7896,42.49,67,63,40.06,broken clouds
90,Dikson,RU,73.5069,80.5464,6.49,95,100,15.46,light snow
91,Saint George,US,37.1041,-113.5841,48.34,32,0,1.99,clear sky
92,Hofn,IS,64.2539,-15.2082,31.93,62,100,5.59,overcast clouds
93,Ponnani,IN,10.767,75.9252,88.92,51,21,1.61,few clouds
94,Lowestoft,GB,52.4752,1.7516,35.24,90,16,10.09,few clouds
95,Iskateley,RU,67.6803,53.1512,7.43,96,83,10.02,broken clouds
96,Ribeira Grande,PT,38.5167,-28.7,58.98,72,61,17.0,broken clouds
97,Westport,US,41.1415,-73.3579,13.82,47,0,1.99,clear sky
98,Namibe,AO,-15.1961,12.1522,70.56,76,100,3.33,overcast clouds
99,Margate,GB,51.3813,1.3862,39.69,80,23,1.99,few clouds
100,Hambantota,LK,6.1241,81.1185,86.02,60,5,6.87,clear sky
101,Grand Gaube,MU,-20.0064,57.6608,85.37,62,77,7.0,broken clouds
102,Abu Samrah,SY,35.3029,37.1841,40.87,77,55,4.79,broken clouds
103,Rawah,IQ,34.4816,41.9093,45.75,71,45,4.74,scattered clouds
104,Illela,NG,13.7292,5.2975,60.17,16,4,14.09,clear sky
105,Pirogovo,RU,56.7796,53.1495,11.52,95,99,6.17,snow
106,Faya,SA,18.3851,42.4509,57.72,55,31,7.38,scattered clouds
107,Plettenberg Bay,ZA,-34.0527,23.3716,70.16,72,2,2.71,clear sky
108,Almeirim,BR,-1.5233,-52.5817,71.58,99,100,2.37,overcast clouds
109,Remanso,BR,-9.6179,-42.0831,71.94,89,100,4.38,overcast clouds
110,Anjozorobe,MG,-18.4,47.8667,71.92,64,76,3.85,broken clouds
111,Araucaria,BR,-25.5931,-49.4103,66.43,99,100,3.71,overcast clouds
112,Carutapera,BR,-1.195,-46.02,73.8,92,100,4.83,overcast clouds
113,Am Timan,TD,11.0297,20.2827,67.12,22,8,3.91,clear sky
114,Cidreira,BR,-30.1811,-50.2056,71.55,65,15,12.21,few clouds
115,Salinopolis,BR,-0.6136,-47.3561,76.35,87,100,6.71,overcast clouds
116,Samarkand,UZ,39.6542,66.9597,38.62,70,99,9.22,overcast clouds
117,Gat,IL,31.61,34.7642,53.4,100,0,2.82,clear sky
118,San Joaquin,US,37.9333,-121.3011,52.48,78,0,3.44,clear sky
119,Nurota,UZ,40.5614,65.6886,39.0,59,28,7.47,scattered clouds
120,Trairi,BR,-3.2778,-39.2689,74.12,92,100,6.73,overcast clouds
121,Pimentel,PE,-6.8367,-79.9342,69.73,83,94,11.39,overcast clouds
122,Pisco,PE,-13.7,-76.2167,69.85,78,0,5.75,clear sky
123,Saint-Pierre,RE,-21.3393,55.4781,85.64,74,0,24.16,clear sky
124,Ostrov,RU,57.3439,28.3537,29.93,98,100,14.14,light snow
125,Benguela,AO,-12.5763,13.4055,76.41,84,100,3.04,overcast clouds
126,Cierna Nad Tisou,SK,48.417,22.0887,36.88,96,100,6.29,snow
127,Xique-Xique,BR,-10.8218,-42.7263,70.77,88,100,4.7,overcast clouds
128,Tarko-Sale,RU,64.9225,77.785,-4.52,96,99,7.87,overcast clouds
129,Marquette,US,46.5333,-87.6335,13.77,83,99,3.11,overcast clouds
130,Pomorie,BG,42.5588,27.6439,32.49,93,0,5.75,clear sky
131,Mahebourg,MU,-20.4081,57.7,85.24,70,75,12.66,broken clouds
132,Saint-Denis,FR,48.9167,2.3333,47.14,79,100,3.0,overcast clouds
133,Benidorm,ES,38.5382,-0.131,54.77,46,0,3.47,clear sky
134,Subtanjalla,PE,-14.0189,-75.7581,64.94,72,91,1.95,overcast clouds
135,Caravelas,BR,-17.7125,-39.2481,75.2,88,38,7.52,scattered clouds
136,Bestobe,KZ,52.4994,73.0975,13.08,94,34,8.79,scattered clouds
137,Kedrovyy,RU,56.1667,91.8167,0.01,80,46,3.38,scattered clouds
138,Hamilton,US,39.1834,-84.5333,21.81,72,20,1.01,few clouds
139,Rajampet,IN,14.1833,79.1667,84.18,56,29,3.2,scattered clouds
140,Mancio Lima,BR,-7.6142,-72.8958,73.11,97,100,1.86,moderate rain
141,Sakakah,SA,29.9697,40.2064,45.07,46,0,9.98,clear sky
142,Nadym,RU,65.5333,72.5167,-5.19,94,91,8.95,overcast clouds
143,Sidi Ali,DZ,36.0998,0.4206,45.97,42,0,6.53,clear sky
144,Wagar,SD,16.1525,36.2032,66.42,61,6,9.6,clear sky
145,Itaueira,BR,-7.6033,-43.0256,69.69,93,99,1.45,overcast clouds
146,Sayyan,YE,15.1718,44.3244,57.45,33,10,1.14,clear sky
147,Kalmunai,LK,7.4167,81.8167,83.48,67,30,7.25,scattered clouds
148,Uchaly,RU,54.2996,59.4521,8.26,85,100,2.62,overcast clouds
149,Mubende,UG,0.5606,31.39,75.13,34,88,3.87,overcast clouds
150,Hit,IQ,33.6416,42.8251,50.11,57,47,2.59,scattered clouds
151,Peranamallur,IN,12.5667,79.4333,80.69,60,84,7.38,broken clouds
152,Codrington,AU,-38.2667,141.9667,70.16,79,92,12.8,overcast clouds
153,Tornio,FI,65.8481,24.1466,10.42,85,100,13.02,overcast clouds
154,Mbandaka,CD,0.0487,18.2603,72.37,49,64,2.08,broken clouds
155,Concarneau,FR,47.875,-3.9225,48.97,98,100,4.74,overcast clouds
156,Matagami,CA,49.7502,-77.6328,-5.69,77,100,4.61,overcast clouds
157,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,67.66,98,100,4.14,overcast clouds
158,Victoria,HK,22.2855,114.1577,69.19,63,19,1.01,few clouds
159,Perieti,RO,44.4,24.55,34.32,63,81,14.03,broken clouds
160,Husavik,IS,66.0449,-17.3389,33.71,83,100,13.04,overcast clouds
161,Nawabshah,PK,26.2483,68.4096,66.16,55,0,2.3,smoke
162,Alakurtti,RU,66.9672,30.3491,-1.37,98,70,4.45,broken clouds
163,Rawson,AR,-43.3002,-65.1023,71.98,38,49,22.62,scattered clouds
164,Urumqi,CN,43.801,87.6005,2.35,85,100,4.47,mist
165,Ngama,TD,11.7833,17.1667,58.82,19,54,10.04,broken clouds
166,Ellsworth,US,44.5434,-68.4195,12.52,90,100,8.01,fog
167,Salalah,OM,17.0151,54.0924,76.33,46,65,2.75,broken clouds
168,Goure,NE,13.9835,10.2704,61.02,20,1,9.37,clear sky
169,Karasburg,NA,-28.0167,18.75,81.7,34,96,14.14,overcast clouds
170,Quatre Cocos,MU,-20.2078,57.7625,85.08,67,98,16.15,overcast clouds
171,Copiapo,CL,-27.3667,-70.3333,60.58,82,0,2.37,clear sky
172,Matara,LK,5.9485,80.5353,88.0,54,12,7.11,few clouds
173,Bonavista,CA,48.6499,-53.1147,46.4,96,100,39.41,moderate rain
174,Oistins,BB,13.0667,-59.5333,76.21,70,6,14.85,clear sky
175,Clyde River,CA,70.4692,-68.5914,-16.37,69,75,4.61,broken clouds
176,Lebu,CL,-37.6167,-73.65,55.4,90,25,7.2,scattered clouds
177,Laguna,US,38.421,-121.4238,52.65,83,1,1.01,clear sky
178,Lagos,NG,6.5833,3.75,67.3,35,75,5.03,broken clouds
179,Manavadar,IN,21.5,70.1333,78.33,18,0,4.94,clear sky
